"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","NSIT Dwarka, Delhi - CPCB","pm25",42.51,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-04 00:00:00,2020-04-04,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"2","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.498571,77.26484,2020-04-04 00:00:00,2020-04-04,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"3","ITO, Delhi - CPCB","pm25",31,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-04 00:00:00,2020-04-04,"Delhi","ITO%2C+Delhi+-+CPCB"
"4","IGI Airport (T3), Delhi - IMD","pm25",91.65,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-04 00:00:00,2020-04-04,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"5","Nehru Nagar, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.56789,77.250515,2020-04-04 00:00:00,2020-04-04,"Delhi","Nehru+Nagar%2C+Delhi+-+DPCC"
"6","Alipur, Delhi - DPCC","pm25",44,"µg/m³","IN","Delhi",28.815329,77.15301,2020-04-04 00:00:00,2020-04-04,"Delhi","Alipur%2C+Delhi+-+DPCC"
"7","Mandir Marg, Delhi - DPCC","pm25",34,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-04 00:00:00,2020-04-04,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"8","CRRI Mathura Road, Delhi - IMD","pm25",36.6,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-04 00:00:00,2020-04-04,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"9","Shadipur, Delhi - CPCB","pm25",11.27,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-04 00:00:00,2020-04-04,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"10","Punjabi Bagh, Delhi - DPCC","pm25",39,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-04 00:00:00,2020-04-04,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"11","Dwarka-Sector 8, Delhi - DPCC ","pm25",74,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-04-04 00:00:00,2020-04-04,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"12","Mundka, Delhi - DPCC","pm25",127,"µg/m³","IN","Delhi",28.684678,77.076574,2020-04-04 00:00:00,2020-04-04,"Delhi","Mundka%2C+Delhi+-+DPCC"
"13","DTU, Delhi - CPCB","pm25",41.94,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-04 00:00:00,2020-04-04,"Delhi","DTU%2C+Delhi+-+CPCB"
"14","Sri Aurobindo Marg, Delhi - DPCC","pm25",53,"µg/m³","IN","Delhi",28.531346,77.190156,2020-04-04 00:00:00,2020-04-04,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"15","Wazirpur, Delhi - DPCC","pm25",51,"µg/m³","IN","Delhi",28.699793,77.165453,2020-04-04 00:00:00,2020-04-04,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"16","Vivek Vihar, Delhi - DPCC","pm25",33,"µg/m³","IN","Delhi",28.672342,77.31526,2020-04-04 00:00:00,2020-04-04,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"17","Okhla Phase-2, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.530785,77.271255,2020-04-04 00:00:00,2020-04-04,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"18","Ashok Vihar, Delhi - DPCC","pm25",58,"µg/m³","IN","Delhi",28.695381,77.181665,2020-04-04 00:00:00,2020-04-04,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"19","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",31,"µg/m³","IN","Delhi",28.58028,77.233829,2020-04-04 00:00:00,2020-04-04,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"20","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",10.5,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-04 00:00:00,2020-04-04,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"21","Sonia Vihar, Delhi - DPCC","pm25",41,"µg/m³","IN","Delhi",28.710508,77.249485,2020-04-04 00:00:00,2020-04-04,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"22","Patparganj, Delhi - DPCC","pm25",33,"µg/m³","IN","Delhi",28.623748,77.287205,2020-04-04 00:00:00,2020-04-04,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"23","Pusa, Delhi - IMD","pm25",-41.9,"µg/m³","IN","Delhi",28.639645,77.146263,2020-04-04 00:00:00,2020-04-04,"Delhi","Pusa%2C+Delhi+-+IMD"
"24","Lodhi Road, Delhi - IMD","pm25",36.88,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-04-04 00:00:00,2020-04-04,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"25","Aya Nagar, Delhi - IMD","pm25",27.01,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-04 00:00:00,2020-04-04,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"26","Okhla Phase-2, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.530785,77.271255,2020-04-03 23:45:00,2020-04-04,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"27","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.498571,77.26484,2020-04-03 23:45:00,2020-04-04,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"28","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",31,"µg/m³","IN","Delhi",28.58028,77.233829,2020-04-03 23:45:00,2020-04-04,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"29","Sonia Vihar, Delhi - DPCC","pm25",41,"µg/m³","IN","Delhi",28.710508,77.249485,2020-04-03 23:45:00,2020-04-04,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"30","Lodhi Road, Delhi - IMD","pm25",32.27,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-04-03 23:45:00,2020-04-04,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"31","Pusa, Delhi - IMD","pm25",-54.91,"µg/m³","IN","Delhi",28.639645,77.146263,2020-04-03 23:45:00,2020-04-04,"Delhi","Pusa%2C+Delhi+-+IMD"
"32","ITO, Delhi - CPCB","pm25",29,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-03 23:45:00,2020-04-04,"Delhi","ITO%2C+Delhi+-+CPCB"
"33","Sri Aurobindo Marg, Delhi - DPCC","pm25",34,"µg/m³","IN","Delhi",28.531346,77.190156,2020-04-03 23:45:00,2020-04-04,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"34","NSIT Dwarka, Delhi - CPCB","pm25",42.51,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-03 23:45:00,2020-04-04,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"35","DTU, Delhi - CPCB","pm25",41.94,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-03 23:45:00,2020-04-04,"Delhi","DTU%2C+Delhi+-+CPCB"
"36","Vivek Vihar, Delhi - DPCC","pm25",35,"µg/m³","IN","Delhi",28.672342,77.31526,2020-04-03 23:45:00,2020-04-04,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"37","Mundka, Delhi - DPCC","pm25",143,"µg/m³","IN","Delhi",28.684678,77.076574,2020-04-03 23:45:00,2020-04-04,"Delhi","Mundka%2C+Delhi+-+DPCC"
"38","Aya Nagar, Delhi - IMD","pm25",39.28,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-03 23:45:00,2020-04-04,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"39","CRRI Mathura Road, Delhi - IMD","pm25",21.77,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-03 23:45:00,2020-04-04,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"40","Dwarka-Sector 8, Delhi - DPCC ","pm25",74,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-04-03 23:45:00,2020-04-04,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"41","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",10.5,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-03 23:45:00,2020-04-04,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"42","Punjabi Bagh, Delhi - DPCC","pm25",39,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-03 23:45:00,2020-04-04,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"43","Shadipur, Delhi - CPCB","pm25",11.27,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-03 23:45:00,2020-04-04,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"44","Jahangirpuri, Delhi - DPCC","pm25",61,"µg/m³","IN","Delhi",28.73282,77.170633,2020-04-03 23:45:00,2020-04-04,"Delhi","Jahangirpuri%2C+Delhi+-+DPCC"
"45","Rohini, Delhi - DPCC","pm25",51,"µg/m³","IN","Delhi",28.732528,77.11992,2020-04-03 23:45:00,2020-04-04,"Delhi","Rohini%2C+Delhi+-+DPCC"
"46","Wazirpur, Delhi - DPCC","pm25",68,"µg/m³","IN","Delhi",28.699793,77.165453,2020-04-03 23:45:00,2020-04-04,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"47","Ashok Vihar, Delhi - DPCC","pm25",70,"µg/m³","IN","Delhi",28.695381,77.181665,2020-04-03 23:45:00,2020-04-04,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
