"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Vivek Vihar, Delhi - DPCC","pm25",180,"µg/m³","IN","Delhi",28.672342,77.31526,2020-04-11 00:00:00,2020-04-11,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"2","Shadipur, Delhi - CPCB","pm25",17.85,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-11 00:00:00,2020-04-11,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"3","NSIT Dwarka, Delhi - CPCB","pm25",39.67,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-11 00:00:00,2020-04-11,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"4","Bawana, Delhi - DPCC","pm25",86,"µg/m³","IN","Delhi",28.7762,77.051074,2020-04-11 00:00:00,2020-04-11,"Delhi","Bawana%2C+Delhi+-+DPCC"
"5","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",11.9,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-11 00:00:00,2020-04-11,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"6","Patparganj, Delhi - DPCC","pm25",88,"µg/m³","IN","Delhi",28.623748,77.287205,2020-04-11 00:00:00,2020-04-11,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"7","CRRI Mathura Road, Delhi - IMD","pm25",92.11,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-11 00:00:00,2020-04-11,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"8","Nehru Nagar, Delhi - DPCC","pm25",94,"µg/m³","IN","Delhi",28.56789,77.250515,2020-04-11 00:00:00,2020-04-11,"Delhi","Nehru+Nagar%2C+Delhi+-+DPCC"
"9","Pusa, Delhi - IMD","pm25",-17.58,"µg/m³","IN","Delhi",28.639645,77.146263,2020-04-11 00:00:00,2020-04-11,"Delhi","Pusa%2C+Delhi+-+IMD"
"10","Major Dhyan Chand National Stadium, Delhi - DPCC","pm25",55,"µg/m³","IN","Delhi",28.611281,77.237738,2020-04-11 00:00:00,2020-04-11,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
