"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Sri Aurobindo Marg, Delhi - DPCC","pm25",47,"µg/m³","IN","Delhi",28.531346,77.190156,2020-02-22 00:00:00,2020-02-22,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"2","Dwarka-Sector 8, Delhi - DPCC ","pm25",53,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-02-22 00:00:00,2020-02-22,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"3","North Campus, DU, Delhi - IMD","pm25",49.75,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-02-22 00:00:00,2020-02-22,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"4","Major Dhyan Chand National Stadium, Delhi - DPCC","pm25",56,"µg/m³","IN","Delhi",28.611281,77.237738,2020-02-22 00:00:00,2020-02-22,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"5","Jahangirpuri, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.73282,77.170633,2020-02-22 00:00:00,2020-02-22,"Delhi","Jahangirpuri%2C+Delhi+-+DPCC"
"6","Anand Vihar, Delhi - DPCC","pm25",49,"µg/m³","IN","Delhi",28.646835,77.316032,2020-02-22 00:00:00,2020-02-22,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"7","Wazirpur, Delhi - DPCC","pm25",55,"µg/m³","IN","Delhi",28.699793,77.165453,2020-02-22 00:00:00,2020-02-22,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"8","CRRI Mathura Road, Delhi - IMD","pm25",54.84,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-02-22 00:00:00,2020-02-22,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"9","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",22.2,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-02-22 00:00:00,2020-02-22,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"10","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",50,"µg/m³","IN","Delhi",28.498571,77.26484,2020-02-22 00:00:00,2020-02-22,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"11","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",58,"µg/m³","IN","Delhi",28.58028,77.233829,2020-02-22 00:00:00,2020-02-22,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"12","Punjabi Bagh, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.674045,77.131023,2020-02-22 00:00:00,2020-02-22,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"13","Narela, Delhi - DPCC","pm25",45,"µg/m³","IN","Delhi",28.822836,77.101981,2020-02-22 00:00:00,2020-02-22,"Delhi","Narela%2C+Delhi+-+DPCC"
"14","R K Puram, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.563262,77.186937,2020-02-22 00:00:00,2020-02-22,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"15","Okhla Phase-2, Delhi - DPCC","pm25",48,"µg/m³","IN","Delhi",28.530785,77.271255,2020-02-22 00:00:00,2020-02-22,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"16","Vivek Vihar, Delhi - DPCC","pm25",62,"µg/m³","IN","Delhi",28.672342,77.31526,2020-02-22 00:00:00,2020-02-22,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"17","IGI Airport (T3), Delhi - IMD","pm25",38.41,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-02-22 00:00:00,2020-02-22,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"18","Shadipur, Delhi - CPCB","pm25",51.56,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-02-22 00:00:00,2020-02-22,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"19","Sonia Vihar, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.710508,77.249485,2020-02-22 00:00:00,2020-02-22,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"20","Lodhi Road, Delhi - IMD","pm25",44.29,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-02-22 00:00:00,2020-02-22,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"21","DTU, Delhi - CPCB","pm25",80.32,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-02-22 00:00:00,2020-02-22,"Delhi","DTU%2C+Delhi+-+CPCB"
"22","Patparganj, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.623748,77.287205,2020-02-22 00:00:00,2020-02-22,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"23","Najafgarh, Delhi - DPCC","pm25",57,"µg/m³","IN","Delhi",28.570173,76.933762,2020-02-22 00:00:00,2020-02-22,"Delhi","Najafgarh%2C+Delhi+-+DPCC"
"24","Alipur, Delhi - DPCC","pm25",38,"µg/m³","IN","Delhi",28.815329,77.15301,2020-02-22 00:00:00,2020-02-22,"Delhi","Alipur%2C+Delhi+-+DPCC"
"25","Bawana, Delhi - DPCC","pm25",47,"µg/m³","IN","Delhi",28.7762,77.051074,2020-02-22 00:00:00,2020-02-22,"Delhi","Bawana%2C+Delhi+-+DPCC"
"26","Pusa, Delhi - IMD","pm25",46.7,"µg/m³","IN","Delhi",28.639645,77.146263,2020-02-22 00:00:00,2020-02-22,"Delhi","Pusa%2C+Delhi+-+IMD"
"27","Nehru Nagar, Delhi - DPCC","pm25",56,"µg/m³","IN","Delhi",28.56789,77.250515,2020-02-22 00:00:00,2020-02-22,"Delhi","Nehru+Nagar%2C+Delhi+-+DPCC"
"28","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",50,"µg/m³","IN","Delhi",28.498571,77.26484,2020-02-21 23:45:00,2020-02-22,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"29","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",58,"µg/m³","IN","Delhi",28.58028,77.233829,2020-02-21 23:45:00,2020-02-22,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"30","Major Dhyan Chand National Stadium, Delhi - DPCC","pm25",56,"µg/m³","IN","Delhi",28.611281,77.237738,2020-02-21 23:45:00,2020-02-22,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"31","Narela, Delhi - DPCC","pm25",45,"µg/m³","IN","Delhi",28.822836,77.101981,2020-02-21 23:45:00,2020-02-22,"Delhi","Narela%2C+Delhi+-+DPCC"
"32","CRRI Mathura Road, Delhi - IMD","pm25",42.95,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-02-21 23:45:00,2020-02-22,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"33","Lodhi Road, Delhi - IMD","pm25",43.22,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-02-21 23:45:00,2020-02-22,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"34","Rohini, Delhi - DPCC","pm25",67,"µg/m³","IN","Delhi",28.732528,77.11992,2020-02-21 23:45:00,2020-02-22,"Delhi","Rohini%2C+Delhi+-+DPCC"
"35","North Campus, DU, Delhi - IMD","pm25",43.94,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-02-21 23:45:00,2020-02-22,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"36","Aya Nagar, Delhi - IMD","pm25",19.63,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-02-21 23:45:00,2020-02-22,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"37","DTU, Delhi - CPCB","pm25",80.32,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-02-21 23:45:00,2020-02-22,"Delhi","DTU%2C+Delhi+-+CPCB"
"38","Vivek Vihar, Delhi - DPCC","pm25",48,"µg/m³","IN","Delhi",28.672342,77.31526,2020-02-21 23:45:00,2020-02-22,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"39","Wazirpur, Delhi - DPCC","pm25",46,"µg/m³","IN","Delhi",28.699793,77.165453,2020-02-21 23:45:00,2020-02-22,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"40","Okhla Phase-2, Delhi - DPCC","pm25",48,"µg/m³","IN","Delhi",28.530785,77.271255,2020-02-21 23:45:00,2020-02-22,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"41","Najafgarh, Delhi - DPCC","pm25",57,"µg/m³","IN","Delhi",28.570173,76.933762,2020-02-21 23:45:00,2020-02-22,"Delhi","Najafgarh%2C+Delhi+-+DPCC"
"42","Sirifort, Delhi - CPCB","pm25",50,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-02-21 23:45:00,2020-02-22,"Delhi","Sirifort%2C+Delhi+-+CPCB"
"43","Anand Vihar, Delhi - DPCC","pm25",49,"µg/m³","IN","Delhi",28.646835,77.316032,2020-02-21 23:45:00,2020-02-22,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"44","Bawana, Delhi - DPCC","pm25",47,"µg/m³","IN","Delhi",28.7762,77.051074,2020-02-21 23:45:00,2020-02-22,"Delhi","Bawana%2C+Delhi+-+DPCC"
"45","Punjabi Bagh, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.674045,77.131023,2020-02-21 23:45:00,2020-02-22,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"46","Sri Aurobindo Marg, Delhi - DPCC","pm25",42,"µg/m³","IN","Delhi",28.531346,77.190156,2020-02-21 23:45:00,2020-02-22,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"47","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",22.2,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-02-21 23:45:00,2020-02-22,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"48","Shadipur, Delhi - CPCB","pm25",51.56,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-02-21 23:45:00,2020-02-22,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"49","Dwarka-Sector 8, Delhi - DPCC ","pm25",53,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-02-21 23:45:00,2020-02-22,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"50","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",22.2,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-02-21 23:30:00,2020-02-22,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"51","Lodhi Road, Delhi - IMD","pm25",42.06,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-02-21 23:30:00,2020-02-22,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"52","North Campus, DU, Delhi - IMD","pm25",37.44,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-02-21 23:30:00,2020-02-22,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"53","Aya Nagar, Delhi - IMD","pm25",12.42,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-02-21 23:30:00,2020-02-22,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"54","Narela, Delhi - DPCC","pm25",45,"µg/m³","IN","Delhi",28.822836,77.101981,2020-02-21 23:30:00,2020-02-22,"Delhi","Narela%2C+Delhi+-+DPCC"
"55","Wazirpur, Delhi - DPCC","pm25",46,"µg/m³","IN","Delhi",28.699793,77.165453,2020-02-21 23:30:00,2020-02-22,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"56","CRRI Mathura Road, Delhi - IMD","pm25",51.93,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-02-21 23:30:00,2020-02-22,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"57","Sri Aurobindo Marg, Delhi - DPCC","pm25",42,"µg/m³","IN","Delhi",28.531346,77.190156,2020-02-21 23:30:00,2020-02-22,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"58","Alipur, Delhi - DPCC","pm25",42,"µg/m³","IN","Delhi",28.815329,77.15301,2020-02-21 23:30:00,2020-02-22,"Delhi","Alipur%2C+Delhi+-+DPCC"
"59","Shadipur, Delhi - CPCB","pm25",51.56,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-02-21 23:30:00,2020-02-22,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"60","US Diplomatic Post: New Delhi","pm25",51,"µg/m³","IN","Delhi",28.63576,77.22445,2020-02-21 23:30:00,2020-02-22,"Delhi","US+Diplomatic+Post%3A+New+Delhi"
"61","Sirifort, Delhi - CPCB","pm25",51,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-02-21 23:30:00,2020-02-22,"Delhi","Sirifort%2C+Delhi+-+CPCB"
"62","Dwarka-Sector 8, Delhi - DPCC ","pm25",53,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-02-21 23:30:00,2020-02-22,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"63","Jahangirpuri, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.73282,77.170633,2020-02-21 23:30:00,2020-02-22,"Delhi","Jahangirpuri%2C+Delhi+-+DPCC"
"64","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",58,"µg/m³","IN","Delhi",28.58028,77.233829,2020-02-21 23:30:00,2020-02-22,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"65","Sonia Vihar, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.710508,77.249485,2020-02-21 23:30:00,2020-02-22,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"66","Patparganj, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.623748,77.287205,2020-02-21 23:30:00,2020-02-22,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"67","Rohini, Delhi - DPCC","pm25",67,"µg/m³","IN","Delhi",28.732528,77.11992,2020-02-21 23:30:00,2020-02-22,"Delhi","Rohini%2C+Delhi+-+DPCC"
"68","Bawana, Delhi - DPCC","pm25",47,"µg/m³","IN","Delhi",28.7762,77.051074,2020-02-21 23:30:00,2020-02-22,"Delhi","Bawana%2C+Delhi+-+DPCC"
"69","Anand Vihar, Delhi - DPCC","pm25",49,"µg/m³","IN","Delhi",28.646835,77.316032,2020-02-21 23:30:00,2020-02-22,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"70","R K Puram, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.563262,77.186937,2020-02-21 23:30:00,2020-02-22,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"71","Punjabi Bagh, Delhi - DPCC","pm25",36,"µg/m³","IN","Delhi",28.674045,77.131023,2020-02-21 23:30:00,2020-02-22,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"72","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",50,"µg/m³","IN","Delhi",28.498571,77.26484,2020-02-21 23:30:00,2020-02-22,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"73","Najafgarh, Delhi - DPCC","pm25",57,"µg/m³","IN","Delhi",28.570173,76.933762,2020-02-21 23:30:00,2020-02-22,"Delhi","Najafgarh%2C+Delhi+-+DPCC"
"74","Major Dhyan Chand National Stadium, Delhi - DPCC","pm25",56,"µg/m³","IN","Delhi",28.611281,77.237738,2020-02-21 23:30:00,2020-02-22,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"75","Vivek Vihar, Delhi - DPCC","pm25",48,"µg/m³","IN","Delhi",28.672342,77.31526,2020-02-21 23:30:00,2020-02-22,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"76","IGI Airport (T3), Delhi - IMD","pm25",31.84,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-02-21 23:30:00,2020-02-22,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"77","DTU, Delhi - CPCB","pm25",95.61,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-02-21 23:30:00,2020-02-22,"Delhi","DTU%2C+Delhi+-+CPCB"
"78","Anand Vihar, Delhi - DPCC","pm25",49,"µg/m³","IN","Delhi",28.646835,77.316032,2020-02-21 23:15:00,2020-02-22,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"79","IGI Airport (T3), Delhi - IMD","pm25",35.42,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-02-21 23:15:00,2020-02-22,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"80","North Campus, DU, Delhi - IMD","pm25",35.8,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-02-21 23:15:00,2020-02-22,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"81","CRRI Mathura Road, Delhi - IMD","pm25",51.46,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-02-21 23:15:00,2020-02-22,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"82","Aya Nagar, Delhi - IMD","pm25",8.64,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-02-21 23:15:00,2020-02-22,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"83","Lodhi Road, Delhi - IMD","pm25",32.62,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-02-21 23:15:00,2020-02-22,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"84","Dwarka-Sector 8, Delhi - DPCC ","pm25",53,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-02-21 23:15:00,2020-02-22,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"85","Sirifort, Delhi - CPCB","pm25",52,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-02-21 23:15:00,2020-02-22,"Delhi","Sirifort%2C+Delhi+-+CPCB"
"86","R K Puram, Delhi - DPCC","pm25",35,"µg/m³","IN","Delhi",28.563262,77.186937,2020-02-21 23:15:00,2020-02-22,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
