"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Vivek Vihar, Delhi - DPCC","pm10",128,"µg/m³","IN","Delhi",28.672342,77.31526,2020-04-18 00:00:00,2020-04-18,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"2","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm10",72,"µg/m³","IN","Delhi",28.498571,77.26484,2020-04-18 00:00:00,2020-04-18,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"3","Rohini, Delhi - DPCC","pm10",195,"µg/m³","IN","Delhi",28.732528,77.11992,2020-04-18 00:00:00,2020-04-18,"Delhi","Rohini%2C+Delhi+-+DPCC"
"4","ITO, Delhi - CPCB","pm10",113,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-18 00:00:00,2020-04-18,"Delhi","ITO%2C+Delhi+-+CPCB"
"5","Ashok Vihar, Delhi - DPCC","pm10",64,"µg/m³","IN","Delhi",28.695381,77.181665,2020-04-18 00:00:00,2020-04-18,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"6","DTU, Delhi - CPCB","pm10",205,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-18 00:00:00,2020-04-18,"Delhi","DTU%2C+Delhi+-+CPCB"
"7","Major Dhyan Chand National Stadium, Delhi - DPCC","pm10",63,"µg/m³","IN","Delhi",28.611281,77.237738,2020-04-18 00:00:00,2020-04-18,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"8","Wazirpur, Delhi - DPCC","pm10",83,"µg/m³","IN","Delhi",28.699793,77.165453,2020-04-18 00:00:00,2020-04-18,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"9","IGI Airport (T3), Delhi - IMD","pm10",90.36,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-18 00:00:00,2020-04-18,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"10","Sirifort, Delhi - CPCB","pm10",86,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-04-18 00:00:00,2020-04-18,"Delhi","Sirifort%2C+Delhi+-+CPCB"
"11","North Campus, DU, Delhi - IMD","pm10",0,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-18 00:00:00,2020-04-18,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"12","Mandir Marg, Delhi - DPCC","pm10",57,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-18 00:00:00,2020-04-18,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"13","R K Puram, Delhi - DPCC","pm10",48,"µg/m³","IN","Delhi",28.563262,77.186937,2020-04-18 00:00:00,2020-04-18,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"14","Dwarka-Sector 8, Delhi - DPCC ","pm10",97,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-04-18 00:00:00,2020-04-18,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"15","Okhla Phase-2, Delhi - DPCC","pm10",91,"µg/m³","IN","Delhi",28.530785,77.271255,2020-04-18 00:00:00,2020-04-18,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"16","Najafgarh, Delhi - DPCC","pm10",146,"µg/m³","IN","Delhi",28.570173,76.933762,2020-04-18 00:00:00,2020-04-18,"Delhi","Najafgarh%2C+Delhi+-+DPCC"
"17","CRRI Mathura Road, Delhi - IMD","pm10",384.83,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-18 00:00:00,2020-04-18,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
