"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","North Campus, DU, Delhi - IMD","pm10",123.54,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-03-21 00:00:00,2020-03-21,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"2","Mandir Marg, Delhi - DPCC","pm10",75,"µg/m³","IN","Delhi",28.636429,77.201067,2020-03-21 00:00:00,2020-03-21,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"3","Narela, Delhi - DPCC","pm10",324,"µg/m³","IN","Delhi",28.822836,77.101981,2020-03-21 00:00:00,2020-03-21,"Delhi","Narela%2C+Delhi+-+DPCC"
"4","Ashok Vihar, Delhi - DPCC","pm10",122,"µg/m³","IN","Delhi",28.695381,77.181665,2020-03-21 00:00:00,2020-03-21,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"5","Sonia Vihar, Delhi - DPCC","pm10",151,"µg/m³","IN","Delhi",28.710508,77.249485,2020-03-21 00:00:00,2020-03-21,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"6","Rohini, Delhi - DPCC","pm10",307,"µg/m³","IN","Delhi",28.732528,77.11992,2020-03-21 00:00:00,2020-03-21,"Delhi","Rohini%2C+Delhi+-+DPCC"
"7","Mundka, Delhi - DPCC","pm10",224,"µg/m³","IN","Delhi",28.684678,77.076574,2020-03-21 00:00:00,2020-03-21,"Delhi","Mundka%2C+Delhi+-+DPCC"
"8","Alipur, Delhi - DPCC","pm10",324,"µg/m³","IN","Delhi",28.815329,77.15301,2020-03-21 00:00:00,2020-03-21,"Delhi","Alipur%2C+Delhi+-+DPCC"
"9","Punjabi Bagh, Delhi - DPCC","pm10",110,"µg/m³","IN","Delhi",28.674045,77.131023,2020-03-21 00:00:00,2020-03-21,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"10","R K Puram, Delhi - DPCC","pm10",80,"µg/m³","IN","Delhi",28.563262,77.186937,2020-03-21 00:00:00,2020-03-21,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"11","Wazirpur, Delhi - DPCC","pm10",194,"µg/m³","IN","Delhi",28.699793,77.165453,2020-03-21 00:00:00,2020-03-21,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"12","Sri Aurobindo Marg, Delhi - DPCC","pm10",52,"µg/m³","IN","Delhi",28.531346,77.190156,2020-03-21 00:00:00,2020-03-21,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"13","Major Dhyan Chand National Stadium, Delhi - DPCC","pm10",138,"µg/m³","IN","Delhi",28.611281,77.237738,2020-03-21 00:00:00,2020-03-21,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"14","Vivek Vihar, Delhi - DPCC","pm10",122,"µg/m³","IN","Delhi",28.672342,77.31526,2020-03-21 00:00:00,2020-03-21,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"15","Patparganj, Delhi - DPCC","pm10",102,"µg/m³","IN","Delhi",28.623748,77.287205,2020-03-21 00:00:00,2020-03-21,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"16","DTU, Delhi - CPCB","pm10",264,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-03-21 00:00:00,2020-03-21,"Delhi","DTU%2C+Delhi+-+CPCB"
"17","Pusa, Delhi - IMD","pm10",104.95,"µg/m³","IN","Delhi",28.639645,77.146263,2020-03-21 00:00:00,2020-03-21,"Delhi","Pusa%2C+Delhi+-+IMD"
"18","Lodhi Road, Delhi - IMD","pm10",79.85,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-03-21 00:00:00,2020-03-21,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"19","Aya Nagar, Delhi - IMD","pm10",88.92,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-03-21 00:00:00,2020-03-21,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"20","Jawaharlal Nehru Stadium, Delhi - DPCC","pm10",101,"µg/m³","IN","Delhi",28.58028,77.233829,2020-03-21 00:00:00,2020-03-21,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"21","CRRI Mathura Road, Delhi - IMD","pm10",103.09,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-03-21 00:00:00,2020-03-21,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"22","Okhla Phase-2, Delhi - DPCC","pm10",168,"µg/m³","IN","Delhi",28.530785,77.271255,2020-03-21 00:00:00,2020-03-21,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"23","Bawana, Delhi - DPCC","pm10",351,"µg/m³","IN","Delhi",28.7762,77.051074,2020-03-21 00:00:00,2020-03-21,"Delhi","Bawana%2C+Delhi+-+DPCC"
"24","Dwarka-Sector 8, Delhi - DPCC ","pm10",144,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-03-21 00:00:00,2020-03-21,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"25","ITO, Delhi - CPCB","pm10",-1157,"µg/m³","IN","Delhi",28.628624,77.24106,2020-03-21 00:00:00,2020-03-21,"Delhi","ITO%2C+Delhi+-+CPCB"
"26","Sirifort, Delhi - CPCB","pm10",86,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-03-20 23:45:00,2020-03-21,"Delhi","Sirifort%2C+Delhi+-+CPCB"
