"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Wazirpur, Delhi - DPCC","pm25",73,"µg/m³","IN","Delhi",28.699793,77.165453,2020-03-21 00:00:00,2020-03-21,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"2","Dwarka-Sector 8, Delhi - DPCC ","pm25",53,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-03-21 00:00:00,2020-03-21,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"3","Punjabi Bagh, Delhi - DPCC","pm25",56,"µg/m³","IN","Delhi",28.674045,77.131023,2020-03-21 00:00:00,2020-03-21,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"4","Sonia Vihar, Delhi - DPCC","pm25",61,"µg/m³","IN","Delhi",28.710508,77.249485,2020-03-21 00:00:00,2020-03-21,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"5","Major Dhyan Chand National Stadium, Delhi - DPCC","pm25",63,"µg/m³","IN","Delhi",28.611281,77.237738,2020-03-21 00:00:00,2020-03-21,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"6","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",74.8,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-03-21 00:00:00,2020-03-21,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"7","Mundka, Delhi - DPCC","pm25",86,"µg/m³","IN","Delhi",28.684678,77.076574,2020-03-21 00:00:00,2020-03-21,"Delhi","Mundka%2C+Delhi+-+DPCC"
"8","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.58028,77.233829,2020-03-21 00:00:00,2020-03-21,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"9","Ashok Vihar, Delhi - DPCC","pm25",58,"µg/m³","IN","Delhi",28.695381,77.181665,2020-03-21 00:00:00,2020-03-21,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"10","CRRI Mathura Road, Delhi - IMD","pm25",44.87,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-03-21 00:00:00,2020-03-21,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"11","Aya Nagar, Delhi - IMD","pm25",37.12,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-03-21 00:00:00,2020-03-21,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"12","Lodhi Road, Delhi - IMD","pm25",39.7,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-03-21 00:00:00,2020-03-21,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"13","Pusa, Delhi - IMD","pm25",28.36,"µg/m³","IN","Delhi",28.639645,77.146263,2020-03-21 00:00:00,2020-03-21,"Delhi","Pusa%2C+Delhi+-+IMD"
"14","Narela, Delhi - DPCC","pm25",177,"µg/m³","IN","Delhi",28.822836,77.101981,2020-03-21 00:00:00,2020-03-21,"Delhi","Narela%2C+Delhi+-+DPCC"
"15","Okhla Phase-2, Delhi - DPCC","pm25",52,"µg/m³","IN","Delhi",28.530785,77.271255,2020-03-21 00:00:00,2020-03-21,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"16","R K Puram, Delhi - DPCC","pm25",40,"µg/m³","IN","Delhi",28.563262,77.186937,2020-03-21 00:00:00,2020-03-21,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"17","North Campus, DU, Delhi - IMD","pm25",50.99,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-03-21 00:00:00,2020-03-21,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"18","Shadipur, Delhi - CPCB","pm25",82.54,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-03-21 00:00:00,2020-03-21,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"19","Mandir Marg, Delhi - DPCC","pm25",41,"µg/m³","IN","Delhi",28.636429,77.201067,2020-03-21 00:00:00,2020-03-21,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"20","Vivek Vihar, Delhi - DPCC","pm25",52,"µg/m³","IN","Delhi",28.672342,77.31526,2020-03-21 00:00:00,2020-03-21,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"21","Alipur, Delhi - DPCC","pm25",147,"µg/m³","IN","Delhi",28.815329,77.15301,2020-03-21 00:00:00,2020-03-21,"Delhi","Alipur%2C+Delhi+-+DPCC"
"22","ITO, Delhi - CPCB","pm25",-1339,"µg/m³","IN","Delhi",28.628624,77.24106,2020-03-21 00:00:00,2020-03-21,"Delhi","ITO%2C+Delhi+-+CPCB"
"23","DTU, Delhi - CPCB","pm25",153.3,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-03-21 00:00:00,2020-03-21,"Delhi","DTU%2C+Delhi+-+CPCB"
"24","Bawana, Delhi - DPCC","pm25",197,"µg/m³","IN","Delhi",28.7762,77.051074,2020-03-21 00:00:00,2020-03-21,"Delhi","Bawana%2C+Delhi+-+DPCC"
"25","NSIT Dwarka, Delhi - CPCB","pm25",92.17,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-03-21 00:00:00,2020-03-21,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"26","Patparganj, Delhi - DPCC","pm25",42,"µg/m³","IN","Delhi",28.623748,77.287205,2020-03-21 00:00:00,2020-03-21,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"27","Rohini, Delhi - DPCC","pm25",146,"µg/m³","IN","Delhi",28.732528,77.11992,2020-03-21 00:00:00,2020-03-21,"Delhi","Rohini%2C+Delhi+-+DPCC"
"28","Sri Aurobindo Marg, Delhi - DPCC","pm25",30,"µg/m³","IN","Delhi",28.531346,77.190156,2020-03-21 00:00:00,2020-03-21,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"29","Rohini, Delhi - DPCC","pm25",146,"µg/m³","IN","Delhi",28.732528,77.11992,2020-03-20 23:45:00,2020-03-21,"Delhi","Rohini%2C+Delhi+-+DPCC"
"30","Shadipur, Delhi - CPCB","pm25",82.54,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-03-20 23:45:00,2020-03-21,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"31","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",74.8,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-03-20 23:45:00,2020-03-21,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"32","Nehru Nagar, Delhi - DPCC","pm25",34,"µg/m³","IN","Delhi",28.56789,77.250515,2020-03-20 23:45:00,2020-03-21,"Delhi","Nehru+Nagar%2C+Delhi+-+DPCC"
"33","North Campus, DU, Delhi - IMD","pm25",45.98,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-03-20 23:45:00,2020-03-21,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"34","NSIT Dwarka, Delhi - CPCB","pm25",92.17,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-03-20 23:45:00,2020-03-21,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"35","DTU, Delhi - CPCB","pm25",153.3,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-03-20 23:45:00,2020-03-21,"Delhi","DTU%2C+Delhi+-+CPCB"
"36","Sirifort, Delhi - CPCB","pm25",40,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-03-20 23:45:00,2020-03-21,"Delhi","Sirifort%2C+Delhi+-+CPCB"
"37","Dwarka-Sector 8, Delhi - DPCC ","pm25",53,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-03-20 23:45:00,2020-03-21,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
