"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Aya Nagar, Delhi - IMD","pm10",42.25,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-24 11:45:00,2020-04-24,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"2","CRRI Mathura Road, Delhi - IMD","pm10",58.21,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 11:45:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"3","IGI Airport (T3), Delhi - IMD","pm10",64.87,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-24 11:45:00,2020-04-24,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"4","North Campus, DU, Delhi - IMD","pm10",0,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-24 11:45:00,2020-04-24,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"5","CRRI Mathura Road, Delhi - IMD","pm10",57.9,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 11:30:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"6","Aya Nagar, Delhi - IMD","pm10",32.46,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-24 11:30:00,2020-04-24,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"7","North Campus, DU, Delhi - IMD","pm10",0,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-24 11:30:00,2020-04-24,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"8","IGI Airport (T3), Delhi - IMD","pm10",71.76,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-24 11:15:00,2020-04-24,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"9","Punjabi Bagh, Delhi - DPCC","pm10",86,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-24 11:15:00,2020-04-24,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"10","Sirifort, Delhi - CPCB","pm10",67,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-04-24 11:15:00,2020-04-24,"Delhi","Sirifort%2C+Delhi+-+CPCB"
"11","DTU, Delhi - CPCB","pm10",84,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-24 11:15:00,2020-04-24,"Delhi","DTU%2C+Delhi+-+CPCB"
"12","ITO, Delhi - CPCB","pm10",-548,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-24 11:15:00,2020-04-24,"Delhi","ITO%2C+Delhi+-+CPCB"
"13","Mandir Marg, Delhi - DPCC","pm10",73,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-24 11:15:00,2020-04-24,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"14","Anand Vihar, Delhi - DPCC","pm10",167,"µg/m³","IN","Delhi",28.646835,77.316032,2020-04-24 11:15:00,2020-04-24,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"15","North Campus, DU, Delhi - IMD","pm10",0,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-24 11:00:00,2020-04-24,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"16","Punjabi Bagh, Delhi - DPCC","pm10",75,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-24 11:00:00,2020-04-24,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"17","Ashok Vihar, Delhi - DPCC","pm10",69,"µg/m³","IN","Delhi",28.695381,77.181665,2020-04-24 11:00:00,2020-04-24,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"18","CRRI Mathura Road, Delhi - IMD","pm10",50.29,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 11:00:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
