"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",10.8,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-24 12:30:00,2020-04-24,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"2","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",11.4,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-24 12:15:00,2020-04-24,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"3","North Campus, DU, Delhi - IMD","pm25",5.44,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-24 11:45:00,2020-04-24,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"4","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",11.4,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-24 11:45:00,2020-04-24,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"5","Aya Nagar, Delhi - IMD","pm25",9.25,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-24 11:45:00,2020-04-24,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"6","CRRI Mathura Road, Delhi - IMD","pm25",40.7,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 11:45:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"7","IGI Airport (T3), Delhi - IMD","pm25",31.65,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-24 11:45:00,2020-04-24,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"8","NSIT Dwarka, Delhi - CPCB","pm25",31.51,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-24 11:30:00,2020-04-24,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"9","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",11.4,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-24 11:30:00,2020-04-24,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"10","North Campus, DU, Delhi - IMD","pm25",0.55,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-24 11:30:00,2020-04-24,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"11","Shadipur, Delhi - CPCB","pm25",18.64,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-24 11:30:00,2020-04-24,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"12","Aya Nagar, Delhi - IMD","pm25",-5.88,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-24 11:30:00,2020-04-24,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"13","CRRI Mathura Road, Delhi - IMD","pm25",25.84,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 11:30:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"14","IGI Airport (T3), Delhi - IMD","pm25",37.19,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-24 11:15:00,2020-04-24,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"15","Shadipur, Delhi - CPCB","pm25",25.1,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-24 11:15:00,2020-04-24,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"16","Punjabi Bagh, Delhi - DPCC","pm25",29,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-24 11:15:00,2020-04-24,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"17","NSIT Dwarka, Delhi - CPCB","pm25",0,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-24 11:15:00,2020-04-24,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"18","Mandir Marg, Delhi - DPCC","pm25",26,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-24 11:15:00,2020-04-24,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"19","Anand Vihar, Delhi - DPCC","pm25",57,"µg/m³","IN","Delhi",28.646835,77.316032,2020-04-24 11:15:00,2020-04-24,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"20","ITO, Delhi - CPCB","pm25",-639,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-24 11:15:00,2020-04-24,"Delhi","ITO%2C+Delhi+-+CPCB"
"21","DTU, Delhi - CPCB","pm25",28.32,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-24 11:15:00,2020-04-24,"Delhi","DTU%2C+Delhi+-+CPCB"
"22","CRRI Mathura Road, Delhi - IMD","pm25",13.3,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 11:00:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"23","Mandir Marg, Delhi - DPCC","pm25",34,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-24 11:00:00,2020-04-24,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"24","North Campus, DU, Delhi - IMD","pm25",2.49,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-24 11:00:00,2020-04-24,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"25","Aya Nagar, Delhi - IMD","pm25",-14.01,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-24 11:00:00,2020-04-24,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"26","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",12.6,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-04-24 11:00:00,2020-04-24,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"27","Punjabi Bagh, Delhi - DPCC","pm25",29,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-24 11:00:00,2020-04-24,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"28","Ashok Vihar, Delhi - DPCC","pm25",29,"µg/m³","IN","Delhi",28.695381,77.181665,2020-04-24 11:00:00,2020-04-24,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"29","DTU, Delhi - CPCB","pm25",28.32,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-24 10:45:00,2020-04-24,"Delhi","DTU%2C+Delhi+-+CPCB"
"30","Shadipur, Delhi - CPCB","pm25",25.1,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-24 10:45:00,2020-04-24,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"31","IGI Airport (T3), Delhi - IMD","pm25",37.47,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-24 10:45:00,2020-04-24,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"32","NSIT Dwarka, Delhi - CPCB","pm25",26.43,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-24 10:45:00,2020-04-24,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"33","ITO, Delhi - CPCB","pm25",-676,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-24 10:45:00,2020-04-24,"Delhi","ITO%2C+Delhi+-+CPCB"
"34","DTU, Delhi - CPCB","pm25",29.29,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-24 10:30:00,2020-04-24,"Delhi","DTU%2C+Delhi+-+CPCB"
"35","CRRI Mathura Road, Delhi - IMD","pm25",-4.23,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 10:30:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"36","Aya Nagar, Delhi - IMD","pm25",4.34,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-24 10:30:00,2020-04-24,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"37","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",27,"µg/m³","IN","Delhi",28.498571,77.26484,2020-04-24 10:30:00,2020-04-24,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"38","Mandir Marg, Delhi - DPCC","pm25",34,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-24 10:30:00,2020-04-24,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"39","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",22,"µg/m³","IN","Delhi",28.58028,77.233829,2020-04-24 10:30:00,2020-04-24,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"40","Dwarka-Sector 8, Delhi - DPCC ","pm25",29,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-04-24 10:30:00,2020-04-24,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"41","Shadipur, Delhi - CPCB","pm25",25.1,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-24 10:30:00,2020-04-24,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"42","Punjabi Bagh, Delhi - DPCC","pm25",29,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-24 10:30:00,2020-04-24,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"43","NSIT Dwarka, Delhi - CPCB","pm25",26.48,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-24 10:30:00,2020-04-24,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"44","ITO, Delhi - CPCB","pm25",-720,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-24 10:30:00,2020-04-24,"Delhi","ITO%2C+Delhi+-+CPCB"
"45","IGI Airport (T3), Delhi - IMD","pm25",25.96,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-24 10:15:00,2020-04-24,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"46","Mandir Marg, Delhi - DPCC","pm25",34,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-24 10:15:00,2020-04-24,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"47","North Campus, DU, Delhi - IMD","pm25",7.66,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-04-24 10:15:00,2020-04-24,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"48","Rohini, Delhi - DPCC","pm25",31,"µg/m³","IN","Delhi",28.732528,77.11992,2020-04-24 10:00:00,2020-04-24,"Delhi","Rohini%2C+Delhi+-+DPCC"
"49","IGI Airport (T3), Delhi - IMD","pm25",24.77,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-24 10:00:00,2020-04-24,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"50","CRRI Mathura Road, Delhi - IMD","pm25",22.25,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-24 10:00:00,2020-04-24,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"51","DTU, Delhi - CPCB","pm25",42.59,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-24 10:00:00,2020-04-24,"Delhi","DTU%2C+Delhi+-+CPCB"
"52","Bawana, Delhi - DPCC","pm25",39,"µg/m³","IN","Delhi",28.7762,77.051074,2020-04-24 10:00:00,2020-04-24,"Delhi","Bawana%2C+Delhi+-+DPCC"
"53","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",28,"µg/m³","IN","Delhi",28.58028,77.233829,2020-04-24 10:00:00,2020-04-24,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"54","ITO, Delhi - CPCB","pm25",-833,"µg/m³","IN","Delhi",28.628624,77.24106,2020-04-24 10:00:00,2020-04-24,"Delhi","ITO%2C+Delhi+-+CPCB"
"55","Dwarka-Sector 8, Delhi - DPCC ","pm25",30,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-04-24 10:00:00,2020-04-24,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"56","NSIT Dwarka, Delhi - CPCB","pm25",0,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-24 10:00:00,2020-04-24,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"57","Punjabi Bagh, Delhi - DPCC","pm25",23,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-24 10:00:00,2020-04-24,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"58","Nehru Nagar, Delhi - DPCC","pm25",24,"µg/m³","IN","Delhi",28.56789,77.250515,2020-04-24 10:00:00,2020-04-24,"Delhi","Nehru+Nagar%2C+Delhi+-+DPCC"
"59","Shadipur, Delhi - CPCB","pm25",10.65,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-04-24 10:00:00,2020-04-24,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"60","Sonia Vihar, Delhi - DPCC","pm25",19,"µg/m³","IN","Delhi",28.710508,77.249485,2020-04-24 10:00:00,2020-04-24,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"61","Major Dhyan Chand National Stadium, Delhi - DPCC","pm25",31,"µg/m³","IN","Delhi",28.611281,77.237738,2020-04-24 09:45:00,2020-04-24,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"62","Mundka, Delhi - DPCC","pm25",30,"µg/m³","IN","Delhi",28.684678,77.076574,2020-04-24 09:45:00,2020-04-24,"Delhi","Mundka%2C+Delhi+-+DPCC"
"63","Vivek Vihar, Delhi - DPCC","pm25",20,"µg/m³","IN","Delhi",28.672342,77.31526,2020-04-24 09:45:00,2020-04-24,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"64","Patparganj, Delhi - DPCC","pm25",23,"µg/m³","IN","Delhi",28.623748,77.287205,2020-04-24 09:45:00,2020-04-24,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"65","Najafgarh, Delhi - DPCC","pm25",25,"µg/m³","IN","Delhi",28.570173,76.933762,2020-04-24 09:45:00,2020-04-24,"Delhi","Najafgarh%2C+Delhi+-+DPCC"
"66","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",25,"µg/m³","IN","Delhi",28.498571,77.26484,2020-04-24 09:45:00,2020-04-24,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"67","Ashok Vihar, Delhi - DPCC","pm25",28,"µg/m³","IN","Delhi",28.695381,77.181665,2020-04-24 09:45:00,2020-04-24,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"68","Mandir Marg, Delhi - DPCC","pm25",28,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-24 09:45:00,2020-04-24,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"69","NSIT Dwarka, Delhi - CPCB","pm25",30.75,"µg/m³","IN","Delhi",28.60909,77.0325413,2020-04-24 09:45:00,2020-04-24,"Delhi","NSIT+Dwarka%2C+Delhi+-+CPCB"
"70","DTU, Delhi - CPCB","pm25",42.59,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-04-24 09:45:00,2020-04-24,"Delhi","DTU%2C+Delhi+-+CPCB"
