"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Lodhi Road, Delhi - IMD","pm25",-26.38,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-05-04 18:00:00,2020-05-04,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"2","North Campus, DU, Delhi - IMD","pm25",54.14,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-05-04 18:00:00,2020-05-04,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"3","Aya Nagar, Delhi - IMD","pm25",17.52,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-05-04 18:00:00,2020-05-04,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"4","CRRI Mathura Road, Delhi - IMD","pm25",54.51,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-05-04 18:00:00,2020-05-04,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"5","DTU, Delhi - CPCB","pm25",85.96,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-05-04 17:30:00,2020-05-04,"Delhi","DTU%2C+Delhi+-+CPCB"
"6","R K Puram, Delhi - DPCC","pm25",38,"µg/m³","IN","Delhi",28.563262,77.186937,2020-05-04 17:30:00,2020-05-04,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"7","ITO, Delhi - CPCB","pm25",92,"µg/m³","IN","Delhi",28.628624,77.24106,2020-05-04 17:30:00,2020-05-04,"Delhi","ITO%2C+Delhi+-+CPCB"
"8","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",94,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-05-04 17:30:00,2020-05-04,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"9","Shadipur, Delhi - CPCB","pm25",15.58,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-05-04 17:30:00,2020-05-04,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"10","Aya Nagar, Delhi - IMD","pm25",-18.24,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-05-04 17:15:00,2020-05-04,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"11","North Campus, DU, Delhi - IMD","pm25",44.34,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-05-04 17:15:00,2020-05-04,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"12","CRRI Mathura Road, Delhi - IMD","pm25",53.98,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-05-04 17:15:00,2020-05-04,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"13","Lodhi Road, Delhi - IMD","pm25",-26.67,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-05-04 17:15:00,2020-05-04,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"14","IHBAS, Dilshad Garden, Delhi - CPCB","pm25",91.4,"µg/m³","IN","Delhi",28.6811736,77.3025234,2020-05-04 17:00:00,2020-05-04,"Delhi","IHBAS%2C+Dilshad+Garden%2C+Delhi+-+CPCB"
"15","Shadipur, Delhi - CPCB","pm25",21.3,"µg/m³","IN","Delhi",28.6514781,77.1473105,2020-05-04 17:00:00,2020-05-04,"Delhi","Shadipur%2C+Delhi+-+CPCB"
"16","CRRI Mathura Road, Delhi - IMD","pm25",56.77,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-05-04 16:45:00,2020-05-04,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"17","North Campus, DU, Delhi - IMD","pm25",32.99,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-05-04 16:45:00,2020-05-04,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"18","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm25",42,"µg/m³","IN","Delhi",28.498571,77.26484,2020-05-04 16:45:00,2020-05-04,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"19","Dwarka-Sector 8, Delhi - DPCC ","pm25",57,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-05-04 16:45:00,2020-05-04,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"20","R K Puram, Delhi - DPCC","pm25",56,"µg/m³","IN","Delhi",28.563262,77.186937,2020-05-04 16:45:00,2020-05-04,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"21","Mandir Marg, Delhi - DPCC","pm25",51,"µg/m³","IN","Delhi",28.636429,77.201067,2020-05-04 16:45:00,2020-05-04,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"22","DTU, Delhi - CPCB","pm25",80.01,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-05-04 16:45:00,2020-05-04,"Delhi","DTU%2C+Delhi+-+CPCB"
"23","ITO, Delhi - CPCB","pm25",109,"µg/m³","IN","Delhi",28.628624,77.24106,2020-05-04 16:45:00,2020-05-04,"Delhi","ITO%2C+Delhi+-+CPCB"
"24","Aya Nagar, Delhi - IMD","pm25",6.21,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-05-04 16:45:00,2020-05-04,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"25","Sonia Vihar, Delhi - DPCC","pm25",58,"µg/m³","IN","Delhi",28.710508,77.249485,2020-05-04 16:45:00,2020-05-04,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"26","Lodhi Road, Delhi - IMD","pm25",-35.81,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-05-04 16:45:00,2020-05-04,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"27","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",46,"µg/m³","IN","Delhi",28.58028,77.233829,2020-05-04 16:45:00,2020-05-04,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"28","Major Dhyan Chand National Stadium, Delhi - DPCC","pm25",55,"µg/m³","IN","Delhi",28.611281,77.237738,2020-05-04 16:45:00,2020-05-04,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
