"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Pusa, Delhi - IMD","pm10",9.82,"µg/m³","IN","Delhi",28.639645,77.146263,2020-04-04 00:00:00,2020-04-04,"Delhi","Pusa%2C+Delhi+-+IMD"
"2","Mundka, Delhi - DPCC","pm10",177,"µg/m³","IN","Delhi",28.684678,77.076574,2020-04-04 00:00:00,2020-04-04,"Delhi","Mundka%2C+Delhi+-+DPCC"
"3","Rohini, Delhi - DPCC","pm10",81,"µg/m³","IN","Delhi",28.732528,77.11992,2020-04-04 00:00:00,2020-04-04,"Delhi","Rohini%2C+Delhi+-+DPCC"
"4","CRRI Mathura Road, Delhi - IMD","pm10",77.91,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-04-04 00:00:00,2020-04-04,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"5","Jawaharlal Nehru Stadium, Delhi - DPCC","pm10",52,"µg/m³","IN","Delhi",28.58028,77.233829,2020-04-04 00:00:00,2020-04-04,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"6","IGI Airport (T3), Delhi - IMD","pm10",128.36,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-04-04 00:00:00,2020-04-04,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"7","Bawana, Delhi - DPCC","pm10",148,"µg/m³","IN","Delhi",28.7762,77.051074,2020-04-04 00:00:00,2020-04-04,"Delhi","Bawana%2C+Delhi+-+DPCC"
"8","Sonia Vihar, Delhi - DPCC","pm10",64,"µg/m³","IN","Delhi",28.710508,77.249485,2020-04-04 00:00:00,2020-04-04,"Delhi","Sonia+Vihar%2C+Delhi+-+DPCC"
"9","Patparganj, Delhi - DPCC","pm10",48,"µg/m³","IN","Delhi",28.623748,77.287205,2020-04-04 00:00:00,2020-04-04,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"10","Dwarka-Sector 8, Delhi - DPCC ","pm10",118,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-04-04 00:00:00,2020-04-04,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"11","Sri Aurobindo Marg, Delhi - DPCC","pm10",85,"µg/m³","IN","Delhi",28.531346,77.190156,2020-04-04 00:00:00,2020-04-04,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"12","Sirifort, Delhi - CPCB","pm10",70,"µg/m³","IN","Delhi",28.5504249,77.2159377,2020-04-04 00:00:00,2020-04-04,"Delhi","Sirifort%2C+Delhi+-+CPCB"
"13","Wazirpur, Delhi - DPCC","pm10",77,"µg/m³","IN","Delhi",28.699793,77.165453,2020-04-04 00:00:00,2020-04-04,"Delhi","Wazirpur%2C+Delhi+-+DPCC"
"14","Vivek Vihar, Delhi - DPCC","pm10",51,"µg/m³","IN","Delhi",28.672342,77.31526,2020-04-04 00:00:00,2020-04-04,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"15","Okhla Phase-2, Delhi - DPCC","pm10",67,"µg/m³","IN","Delhi",28.530785,77.271255,2020-04-04 00:00:00,2020-04-04,"Delhi","Okhla+Phase-2%2C+Delhi+-+DPCC"
"16","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm10",63,"µg/m³","IN","Delhi",28.498571,77.26484,2020-04-04 00:00:00,2020-04-04,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"17","Punjabi Bagh, Delhi - DPCC","pm10",50,"µg/m³","IN","Delhi",28.674045,77.131023,2020-04-04 00:00:00,2020-04-04,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"18","Nehru Nagar, Delhi - DPCC","pm10",64,"µg/m³","IN","Delhi",28.56789,77.250515,2020-04-04 00:00:00,2020-04-04,"Delhi","Nehru+Nagar%2C+Delhi+-+DPCC"
"19","Ashok Vihar, Delhi - DPCC","pm10",85,"µg/m³","IN","Delhi",28.695381,77.181665,2020-04-04 00:00:00,2020-04-04,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"20","Aya Nagar, Delhi - IMD","pm10",88.6,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-04-04 00:00:00,2020-04-04,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"21","Lodhi Road, Delhi - IMD","pm10",44.98,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-04-04 00:00:00,2020-04-04,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"22","Alipur, Delhi - DPCC","pm10",96,"µg/m³","IN","Delhi",28.815329,77.15301,2020-04-04 00:00:00,2020-04-04,"Delhi","Alipur%2C+Delhi+-+DPCC"
"23","Mandir Marg, Delhi - DPCC","pm10",56,"µg/m³","IN","Delhi",28.636429,77.201067,2020-04-04 00:00:00,2020-04-04,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
