"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Jawaharlal Nehru Stadium, Delhi - DPCC","pm25",59,"µg/m³","IN","Delhi",28.58028,77.233829,2020-02-29 00:00:00,2020-02-29,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"2","Jahangirpuri, Delhi - DPCC","pm25",66,"µg/m³","IN","Delhi",28.73282,77.170633,2020-02-29 00:00:00,2020-02-29,"Delhi","Jahangirpuri%2C+Delhi+-+DPCC"
"3","Dwarka-Sector 8, Delhi - DPCC ","pm25",63,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-02-29 00:00:00,2020-02-29,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"4","Aya Nagar, Delhi - IMD","pm25",40.25,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-02-29 00:00:00,2020-02-29,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
"5","IGI Airport (T3), Delhi - IMD","pm25",46.81,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-02-29 00:00:00,2020-02-29,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"6","Alipur, Delhi - DPCC","pm25",83,"µg/m³","IN","Delhi",28.815329,77.15301,2020-02-29 00:00:00,2020-02-29,"Delhi","Alipur%2C+Delhi+-+DPCC"
"7","CRRI Mathura Road, Delhi - IMD","pm25",40.67,"µg/m³","IN","Delhi",28.5512005,77.2735737,2020-02-29 00:00:00,2020-02-29,"Delhi","CRRI+Mathura+Road%2C+Delhi+-+IMD"
"8","North Campus, DU, Delhi - IMD","pm25",79.36,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-02-29 00:00:00,2020-02-29,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"9","Anand Vihar, Delhi - DPCC","pm25",62,"µg/m³","IN","Delhi",28.646835,77.316032,2020-02-29 00:00:00,2020-02-29,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"10","Punjabi Bagh, Delhi - DPCC","pm25",50,"µg/m³","IN","Delhi",28.674045,77.131023,2020-02-29 00:00:00,2020-02-29,"Delhi","Punjabi+Bagh%2C+Delhi+-+DPCC"
"11","R K Puram, Delhi - DPCC","pm25",47,"µg/m³","IN","Delhi",28.563262,77.186937,2020-02-29 00:00:00,2020-02-29,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"12","Sri Aurobindo Marg, Delhi - DPCC","pm25",70,"µg/m³","IN","Delhi",28.531346,77.190156,2020-02-29 00:00:00,2020-02-29,"Delhi","Sri+Aurobindo+Marg%2C+Delhi+-+DPCC"
"13","Pusa, Delhi - IMD","pm25",44.19,"µg/m³","IN","Delhi",28.639645,77.146263,2020-02-29 00:00:00,2020-02-29,"Delhi","Pusa%2C+Delhi+-+IMD"
"14","Vivek Vihar, Delhi - DPCC","pm25",69,"µg/m³","IN","Delhi",28.672342,77.31526,2020-02-29 00:00:00,2020-02-29,"Delhi","Vivek+Vihar%2C+Delhi+-+DPCC"
"15","DTU, Delhi - CPCB","pm25",74.12,"µg/m³","IN","Delhi",28.7500499,77.1112615,2020-02-29 00:00:00,2020-02-29,"Delhi","DTU%2C+Delhi+-+CPCB"
"16","ITO, Delhi - CPCB","pm25",82,"µg/m³","IN","Delhi",28.628624,77.24106,2020-02-29 00:00:00,2020-02-29,"Delhi","ITO%2C+Delhi+-+CPCB"
